A/C;CUMPLE;NO CUMPLE;CUMPLE PARCIALMENTE;REFERENCIA
REQUISITOS DE SOFTWARE;NA;NA;NA;NA
Requerimientos Fundamentales de software;;;;
Proceso de requerimientos;;;;
Requerimientos de licitación;;;;
Análisis de requerientos;;;;
Especificación de requerimientos;;;;
Validación de requerimientos;;;;
Consideraciones prácticas;;;;
Herramienta de requerimiento de software;;;;
DISEÑO DE SOFTWARE;NA;NA;NA;NA
Fundamentos del diseño de software;;;;
Temas clave en el diseño de software;;;;
Estructura y arquitectura software;;;;
Diseño de la interfaz de usuario;;;;
Análisis de Calidad y evaluación del diseño de Software;;;;
Anotaciones del diseño de software;;;;
Estrategias y métodos para el diseño de software ;;;;
Herramientas para el diseño de software ;;;;
CONSTRUCCIÓN DE SOFTWARE;NA;NA;NA;NA
Fundamentos de Construcción de software;;;;
Gestión de la construcción;;;;
Consideraciones Prácticas;;;;
Tecnologías de la construcción;;;;
Herramientas para la construcción  de software;;;;
PRUEBAS DE SOFTWARE;NA;NA;NA;NA
Fundamentos para pruebas de software;;;;
Niveles de prueba;;;;
Técnicas de prueba;;;;
Medidas de las pruebas relacionales;;;;
Proceso de Pruebas;;;;
Herramientas para prueba de software;;;;
MANTENIMIENTO DE SOFTWARE;NA;NA;NA;NA
Fundamentos de mantenimiento de software;;;;
Temas clave en Mantenimiento de Software;;;;
Proceso de Mantenimiento;;;;
Técnicas para el mantenimiento;;;;
Herramientas de mantenimiento de software;;;;
GESTIÓN DE LA CONFIGURACIÓN DE SOFTWARE;NA;NA;NA;NA
Gestión del Proceso de SMC;;;;
Identificación de configuración del software;;;;
Control de Configuración de software;;;;
Configuración de software de contabilidad de estado;;;;
Auditoría del software de configuración;;;;
Software de Gestión de Emisiones y entrega;;;;
Herramientas de administración para configuraciones de software;;;;
GESTIÓN DE LA INGENIERÍA DE SOFTWARE.;NA;NA;NA;NA
Iniciación y definición del alcance;;;;
Planificación del proyecto de software;;;;
Realización del proyecto de software;;;;
Revisión y evaluación;;;;
Clausura;;;;
Ingenieria de Medición de software;;;;
Herramientas de Gestión de Ingeniería de software;;;;
PROCESO DE INGENIERÍA DE SOFTWARE;NA;NA;NA;NA
Procesos para definicion de software;;;;
Cliclos de vidad del software;;;;
Evaluacion de procesos y mejora de software;;;;
Medidas de software;;;;
 Herramientas parael proceso ingeniería de software;;;;
MODELOS Y METODOS DE LA INGENIERIA DE SOFTWARE;NA;NA;NA;NA
Modelado;;;;
Tipos de Modelos;;;;
Análisis de Modelos;;;;
Métodos de   Ingeniería de software;;;;
CALIDAD DE SOFTWARE;NA;NA;NA;NA
Fundamentos de Calidad de Software;;;;
Procesos de Gestión de calidad de Software;;;;
Consideraciones Prácticas;;;;
Herramientas de Calidad de Software;;;;
